kauza	datum	medium	titulek	strana	rubrika	autor	delka
capihnizdo	16.03.2016	Právo	Babiš plánoval, že zvelebí statek, už když jeho firma kupovala pozemek	01	Titulní strana	Radka Kovářová, Jakub Troníček	6322
capihnizdo	16.03.2016	Mladá fronta DNES	Koaliční špičky dnes jednají o Čapím hnízdu	02	Z domova	(ČTK)	542
capihnizdo	16.03.2016	Hospodářské noviny	Náměstek jednal na vlastní pěst, tvrdí Babiš	04	Události	Petr Koděra	2877
capihnizdo	16.03.2016	Právo	Hra na výdrž může vyjít	07	Publicistika	Alexandr Mitrofanov	2222
capihnizdo	15.03.2016	Hospodářské noviny	Krátce	05	Události		220
capihnizdo	15.03.2016	Mladá fronta DNES	Poslance zajímá Babišovo hnízdo	02	Z domova	(iDNES.cz)	1186
capihnizdo	15.03.2016	Hospodářské noviny	Kvůli Čapímu hnízdu si stěžovali na Babišova náměstka. Zřejmě přijdou o práci	03	Události	Petr Koděra	4767
capihnizdo	15.03.2016	Právo	Babiše nedáme, zní unisono z ANO. Oporu má ministr financí i na Hradě	02	Zpravodajství	Karolina Brožová	5868
capihnizdo	15.03.2016	Lidové noviny	Vysvětlování Čapího hnízda se protahuje	03	Domov	čtk	1580
capihnizdo	15.03.2016	Lidové noviny	Budování hnízda	10	Názory	Petr Kamberský	2459
capihnizdo	15.03.2016	Právo	Babiš dává vzpomenout na Grosse	06	Publicistika	Lukáš Jelínek	3189
capihnizdo	14.03.2016	Hospodářské noviny	Babiš neprozradí investora z Farmy Čapí hnízdo	03	Události	(ANO)	441
capihnizdo	14.03.2016	Lidové noviny	Babiš zná jméno investora Čapího hnízda, neřekne ho	03	Domov	čtk	3424
capihnizdo	14.03.2016	Mladá fronta DNES	Babiš: Čapí hnízdo nebylo moje. Komu patřilo, neřeknu	02	Z domova	(cen)	1604
capihnizdo	14.03.2016	Právo	Babiš nechce prozradit, kdo původně vlastnil Čapí hnízdo	01	Titulní strana	Jan Martinek	4299
capihnizdo	14.03.2016	Právo	Obhajoba	06	Publicistika	Jan Martinek	2538
capihnizdo	14.03.2016	Hospodářské noviny	NÁZORY	08	Názory		1350
capihnizdo	14.03.2016	Hospodářské noviny	Jak je důležité mít Vojtěcha Filipa	08	Názory	Jindřich Šídlo	2664
capihnizdo	12.03.2016	Mladá fronta DNES	Kauza Čapí hnízdo: opozice chce mimořádnou schůzi	04	Z domova	- Josef Kopecký, iDNES.cz	1948
capihnizdo	12.03.2016	Lidové noviny	TOP 09 a ODS chtějí schůzi k Čapímu hnízdu	03	Domov	čtk	5220
capihnizdo	12.03.2016	Právo	Pravice chce mimořádnou schůzi Sněmovny k Čapímu hnízdu	04	Zpravodajství	(ada, nig)	2159
capihnizdo	11.03.2016	Právo	Hnízdo	06	Publicistika	Josef Koukal	2353
capihnizdo	11.03.2016	Právo	Babiš: Jde o pomstu mých kolegů	01	Titulní strana	(kab, tin, zpe)	3850
